ai_provider,match_key,website_a_url,website_b_url,verdict,human_visible_changes,confidence,summary
"gemini","/","https://www.hotpackglobal.com/","https://chipper-fenglisu-cc19b7.netlify.app/","changes_visible","true","1","The second website is a severely broken and incomplete version of the first, missing the vast majority of its content, layout, and styling."
"gemini","/resources","","https://chipper-fenglisu-cc19b7.netlify.app/resources","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/media","","https://chipper-fenglisu-cc19b7.netlify.app/media","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/news","","https://chipper-fenglisu-cc19b7.netlify.app/news","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/blogs","","https://chipper-fenglisu-cc19b7.netlify.app/blogs","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/accolades","","https://chipper-fenglisu-cc19b7.netlify.app/accolades","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/events","","https://chipper-fenglisu-cc19b7.netlify.app/events","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/faq","","https://chipper-fenglisu-cc19b7.netlify.app/faq","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/catalogue","","https://chipper-fenglisu-cc19b7.netlify.app/catalogue","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/get-in-touch","","https://chipper-fenglisu-cc19b7.netlify.app/get-in-touch","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/contact-us","","https://chipper-fenglisu-cc19b7.netlify.app/contact-us","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/locate-us","","https://chipper-fenglisu-cc19b7.netlify.app/locate-us","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/careers","","https://chipper-fenglisu-cc19b7.netlify.app/careers","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/paper-products","","https://chipper-fenglisu-cc19b7.netlify.app/paper-products/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/tissue-products","","https://chipper-fenglisu-cc19b7.netlify.app/tissue-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/molded","","https://chipper-fenglisu-cc19b7.netlify.app/molded","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/wooden-products","","https://chipper-fenglisu-cc19b7.netlify.app/wooden-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/aluminium-products","","https://chipper-fenglisu-cc19b7.netlify.app/aluminium-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/plastic-products","","https://chipper-fenglisu-cc19b7.netlify.app/plastic-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/hygiene-and-Protection","","https://chipper-fenglisu-cc19b7.netlify.app/hygiene-and-Protection","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/flexible-products","","https://chipper-fenglisu-cc19b7.netlify.app/flexible-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/foam-products","","https://chipper-fenglisu-cc19b7.netlify.app/foam-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/corrugated-cartons","","https://chipper-fenglisu-cc19b7.netlify.app/corrugated-cartons","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/miscellaneous-products","","https://chipper-fenglisu-cc19b7.netlify.app/miscellaneous-products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/food-service","","https://chipper-fenglisu-cc19b7.netlify.app/food-service","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/Cafe","","https://chipper-fenglisu-cc19b7.netlify.app/Cafe","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/retail","","https://chipper-fenglisu-cc19b7.netlify.app/retail/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/hotels","","https://chipper-fenglisu-cc19b7.netlify.app/hotels/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/sectors","","https://chipper-fenglisu-cc19b7.netlify.app/sectors","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/bakeries","","https://chipper-fenglisu-cc19b7.netlify.app/bakeries","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/healthcare","","https://chipper-fenglisu-cc19b7.netlify.app/healthcare","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/travel","","https://chipper-fenglisu-cc19b7.netlify.app/travel","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/industrial","","https://chipper-fenglisu-cc19b7.netlify.app/industrial","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/Ship","","https://chipper-fenglisu-cc19b7.netlify.app/Ship","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/cloud-kitchen","","https://chipper-fenglisu-cc19b7.netlify.app/cloud-kitchen","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/e-commerce","","https://chipper-fenglisu-cc19b7.netlify.app/e-commerce","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/facility-management","","https://chipper-fenglisu-cc19b7.netlify.app/facility-management","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/test-link-1","","https://chipper-fenglisu-cc19b7.netlify.app/test-link-1","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/test-link-2","","https://chipper-fenglisu-cc19b7.netlify.app/test-link-2","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/[object%20Object]","","https://chipper-fenglisu-cc19b7.netlify.app/[object%20Object]","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/commitment","","https://chipper-fenglisu-cc19b7.netlify.app/commitment","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/products","","https://chipper-fenglisu-cc19b7.netlify.app/products","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/contact","","https://chipper-fenglisu-cc19b7.netlify.app/contact","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
